ID,region,region_france,region_morocco,region_UK,region_ghana,region_georgia,group,sex,sex_female,CS_1,CS_2,CS_3,CS_4,CS_5,CS_6,CS_7,CS_8,CS_9,CS_10,CS_11,CS_12,CS_13,CS_14,CS_15,CS_16,CS_mean,CN_1,CN_2,CN_3,CN_4,CN_5,CN_6,CN_7,CN_8,CN_9,CN_10,CN_11,CN_12,CN_13,CN_14,CN_15,CN_16,CN_17,CN_18,CN_19,CN_20,CN_21,CN_22,CN_23,CN_24,CN_25,CN_26,CN_27,CN_28,CN_mean,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_mean,ATNumSNPs,,,,
B152,France,1,0,0,0,0,Bergman,M,0,814.87387,643.6848,797.2718,969.8414,721.3411,809.3516,855.9454,895.6365,842.1399,816.2544,NaN,NaN,NaN,NaN,NaN,NaN,816.634077,118.47,119.97,126.42,120.03,138.40,125.27,148.21,130.46,117.36,129.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.40,1.9392,1.676232,1.694281,1.848896,1.610369,1.536561,1.71759,1.71758985714286,36,,,,
B153,France,1,0,0,0,0,Bergman,M,0,402.08726,448.6811,484.9207,353.7678,372.7504,383.1046,393.4588,512.5318,422.7956,319.2538,NaN,NaN,NaN,NaN,NaN,NaN,409.335186,129.93,140.31,137.91,141.78,132.61,144.09,154.11,126.58,133.70,132.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137.35,1.793,1.453,1.624,NaN,NaN,NaN,NaN,1.62333333333333,141,,,,
B154,France,1,0,0,0,0,Bergman,M,0,1009.53242,824.8829,610.8965,1059.578,1006.081,966.39,1121.703,1187.279,995.7268,1135.508,NaN,NaN,NaN,NaN,NaN,NaN,991.757762,159.50,112.55,131.57,114.48,134.80,107.48,152.63,129.57,114.91,141.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,129.94,1.634,1.525,1.529,NaN,NaN,NaN,NaN,1.56266666666667,255,,,,
B155,France,1,0,0,0,0,Bergman,M,0,1170.53982,1152.765,1425.425,1045.772,1050.949,1435.779,1285.644,959.4872,1092.366,1125.154,NaN,NaN,NaN,NaN,NaN,NaN,1174.388102,135.07,139.90,195.27,169.40,189.24,165.23,171.15,151.21,146.49,161.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,162.49,2.129,2.017,2.148,NaN,NaN,NaN,NaN,2.098,171,,,,
B156,France,1,0,0,0,0,Bergman,M,0,1100.13143,914.6191,1175.199,994.0012,1014.71,1071.657,1201.085,1130.331,1211.439,1147.588,NaN,NaN,NaN,NaN,NaN,NaN,1096.076073,220.89,244.82,278.92,183.92,262.26,257.76,204.36,228.22,211.46,230.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,232.35,2.087411,1.841932,1.833018,1.624659,1.83061,1.710502,1.821355,1.82135528571429,246,,,,
B157,France,1,0,0,0,0,Bergman,M,0,980.02305,1042.321,736.8724,866.2996,1149.314,1049.223,1000.904,976.7442,692.0043,1121.703,NaN,NaN,NaN,NaN,NaN,NaN,961.540855,172.71,190.60,195.78,160.04,186.57,165.47,217.05,216.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,188.07,1.78,1.616,1.728,NaN,NaN,NaN,NaN,1.708,88,,,,
B158,France,1,0,0,0,0,Bergman,M,0,995.8994,938.7789,1042.321,980.1956,1006.081,664.3931,964.6643,835.2371,1118.251,1119.977,NaN,NaN,NaN,NaN,NaN,NaN,966.57984,151.58,175.14,181.82,145.43,132.60,158.93,137.91,175.23,178.25,158.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,159.58,2.244859,2.343066,2.167723,1.805386,1.775859,1.787585,2.020746,2.020746,31,,,,
B159,France,1,0,0,0,0,Bergman,M,0,507.35474,659.216,709.2612,681.6501,427.9727,434.8755,427.9727,421.0699,440.0526,379.6532,NaN,NaN,NaN,NaN,NaN,NaN,508.907864,135.22,141.65,180.71,127.55,141.58,125.50,158.53,150.23,140.73,138.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.06,1.754,1.836,1.702,NaN,NaN,NaN,NaN,1.764,179,,,,
B160,Morocco,0,1,0,0,0,Bergman,M,0,999.5233,804.1745,548.7715,1306.352,854.2197,1014.71,1049.223,1325.335,1061.303,1049.223,NaN,NaN,NaN,NaN,NaN,NaN,1001.2835,187.49,153.41,186.54,180.48,183.72,164.55,189.21,157.13,162.49,159.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,172.45,1.278,1.171,1.197,NaN,NaN,NaN,NaN,1.21533333333333,37,,,,
B161,Morocco,0,1,0,0,0,Bergman,M,0,372.57785,476.2922,478.0179,320.9795,329.608,407.2644,274.3857,390.0074,415.8928,296.8198,NaN,NaN,NaN,NaN,NaN,NaN,376.184555,246.46,189.70,163.02,198.20,227.16,201.73,211.16,192.36,222.42,220.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,207.31,2.026,1.864,2.034,NaN,NaN,NaN,NaN,1.97466666666667,21,,,,
