cohort,subject,cage,sex,genotype,age,date,time,distance_m,left_carousel_time,right_carousel_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5246,952874,F,Mutants,15 Weeks,8/25/22,10:34,25.447,67.3,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5247,952874,F,Mutants,15 Weeks,8/25/22,11:12,26.805,76.5,110.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5267,952878,F,Mutants,15 Weeks,8/25/22,11:54,22.896,164.4,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5294,980744,M,Mutants,12 Weeks,10/5/22,10:41,33.33,69.5,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5295,980744,M,Mutants,12 Weeks,10/5/22,11:21,28.505,71.7,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5314,980751,M,Mutants,12 Weeks,10/5/22,12:01,23.085,62.4,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5315,980751,M,Mutants,12 Weeks,10/5/22,12:42,31.186,49.2,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5317,980752,F,Mutants,12 Weeks,10/7/22,13:01,24.732,153.2,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5319,980753,F,Mutants,11 Weeks,10/8/22,10:17,27.468,41.7,151.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5325,980755,M,Mutants,11 Weeks,10/5/22,13:22,23.354,68.4,107.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5329,980756,F,Mutants,11 Weeks,10/8/22,11:02,33.974,73.5,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5331,980756,F,Mutants,11 Weeks,10/8/22,11:41,41.221,75.6,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5332,980756,F,Mutants,11 Weeks,10/8/22,12:30,30.121,87.7,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5440,994256,F,Mutants,10 Weeks,10/28/22,10:29,37.47,57.6,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5459,944260,M,Mutants,10 Weeks,10/27/22,10:51,30.96,71.5,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5461,944260,M,Mutants,10 Weeks,10/27/22,12:09,29.808,72.5,103.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5462,944260,M,Mutants,10 Weeks,10/27/22,13:26,24.102,103.4,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5465,994261,F,Mutants,10 Weeks,10/28/22,11:47,27.984,134.4,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5470,994257,F,Mutants,10 Weeks,10/28/22,11:09,37.46,147.1,86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5665,1012164,M,Mutants,14 Weeks,12/20/22,10:09,29.04,51.8,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5666,1012164,M,Mutants,14 Weeks,12/20/22,10:49,36.246,120.8,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5668,1012164,M,Mutants,14 Weeks,12/20/22,11:28,31.032,60.6,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
